association, different : critical
pain, vaccine, contact, recommend, publish : review
prevent, rate, immune, fever, highest : united
united, rash, reduce, risk, specific : decrease
death, vaccination, seizure, cause, year : measles
younger, report, disease, small, due : mouth
remote, report, approximately, vitamin, case : nation
adverse, limit, measles, vaccine, international : available
support, likely, immunity, wrap, region : steroid
vaccine, people, spot, significantly, remain : magnesium
respiratory, form, persist, ear, size : congenital
suggest, measles, size, surface, people : support
infant, control, circulate, human, injury : long
hour, croup, resistance, receive, measles : diarrhea
virus, develop, measles, vaccine, include : disease
measles, lead, start, precede, rate : death
adequate, measles, affect, indicate, underdevelop : nation
neurological, people, surface, immunity, legislation : compare
august, measles, response, pick, seen : confirm
fatal, drug, report, mutation, higher : compare
jump, pain, report, ravage, laboratory : rest
number, resident, person, take, control : suggest
die, receive, contact, usual, measles : runny
month, damage, rash, zoonotic, prevention : confusion
occur, infect, extremely, subacute, led : runny
region, de, sometime, high, outcome : remote
symptom, propagate, circulate, parent, spot : compare
work, slam, german, trend, progress : amount
disease, child, complication, reaction, genus : obstructive
immunization, further, decrease, vaccination, diagnosis : childhood
macrophage, measles, prevent, theme, common : north
dose, acute, permanent, occur, development : serious
importation, medieval, serious, trend, available : formulation
develop, society, cell, cause, diagnosis : infect
bound, complication, sign, systematic, cause : external
high, measles, year, vaccine, survive : vaccination
white, share, increase, growth, name : mouth
country, week, runny, help, measles : diarrhea
media, born, highly, people, lymphocyte : contagious
regardless, central, cause, runny, state : nearly
further, contribute, adult, partner, concept : timely
transmit, infection, prevention, free, day : runny
status, mutation, infant, report, globally : smallpox
nearly, pose, blindness, include, person : runny
help, malaria, number, population, disease : reduce
exposure, international, antibody, association, summary : regardless
test, fatality, measles, license, exposure : vaccinate
measles, virus, condition, runny, free : rash
trachea, last, vaccine, examine, united : available
michigan, prevention, navigation, lymphocyte, day : runny
cause, acquire, unknown, year, dark : life
link, visit, citation, infect, exposure : little
cough, vaccination, add, rate, infect : decrease
identify, even, york, vaccine, history : society
ad, measles, contribute, test, media : diarrhea
fatality, nasal, capital, micrograph, return : vasoconstriction
animal, person, net, health, give : control
vaccination, indicate, adapt, complication, license : society
node, person, susceptible, organ, adequate : regardless
new, spike, deliver, due, control : compare
specific, infant, concern, measles, recommend : vitamin
blindness, eastern, steven, video, brain : diarrhea
common, bill, reintroduce, agree, cause : reason
exposure, population, rubella, thought, increase : prevent
clinical, test, day, known, region : probably
include, develop, life, world, mortality : decrease
rio, case, spread, develop, become : measles
prevent, control, mortality, journal, cover : systematic
seen, previous, remote, fatal, introduce : amount
help, vaccination, develop, genotype, even : die
day, jump, become, coverage, infect : runny
outbreak, medicine, traveler, rate, infant : immunity
result, human, initial, virus, concern : infect
disappear, vaccine, prevention, saliva, molecule : reference
infect, people, fever, easily, recommend : disease
give, eliminate, infrastructure, attributable, measles : pregnant
vaccination, spot, report, time, fever : rash
native, high, rate, previously, case : outbreak
media, lymphocyte, epidemiology, mutation, mucus : natural
mentation, kill, occur, infectious, acute : headache
nearby, par, encephalitis, rash, reference : runny
baby, test, vaccinate, receptor, diameter : choose
malaria, individual, human, easily, adult : ability
due, high, susceptible, person, expose : cough
outbreak, country, follow, greater, risk : health
start, circulate, become, measles, level : ear
salivary, salty, disease, united, come : slightly
animal, net, history, vaccination, small : mite
unable, due, sustain, fever, space : cough
eliminate, outbreak, care, parent, population : choose
publish, eye, maximum, reduce, continually : blindness
body, treatment, infect, measles, stem : pneumonia
international, case, complication, year, biology : united
state, measles, week, express, culture : de
respond, made, account, support, encyclopedia : systematic
ever, globally, dark, cause, sufficiently : inhabitant
day, encephalitis, symptom, vaccine, collect : fever
infect, fluid, area, ear, result : rehydration
dilate, become, density, highest, live : vasoconstriction
fuse, viral, month, stain, nearly : confusion
death, describe, external, secretion, pneumonia : contagious
person, lack, incidence, presume, measles : traveler
follow, resolve, blindness, syndrome, case : magnesium
prove, known, increase, number, measles : risk
bacterial, population, common, symptom, cause : asthma
adequate, symptom, treatment, animal, spot : allergen
initiate, disallow, death, outbreak, generation : nearly
supplementation, well, growth, disease, diagnosis : slightly
responsible, passive, begin, member, outbreak : disability
health, pneumonia, response, ear, occur : runny
history, pneumonia, case, call, brazil : outbreak
observation, spike, accept, tissue, continue : description
malaria, complication, approximately, cough, day : pneumonia
infect, believe, august, immunity, organization : clear
case, measles, cause, individual, june : outbreak
measles, person, occur, aka, rash : day
death, white, place, year, united : estimate
people, measles, estimate, highly, vaccination : outbreak
infant, claim, immune, health, common : herd
bronchitis, eye, wide, epidemiology, global : diarrhea
cheek, huge, case, western, week : stabilizer
prevention, infection, depend, airway, period : inflammation
due, strongly, even, cause, seen : throat
kindergartner, people, develop, cell, case : measles
addition, contact, pain, population, measles : rash
week, infect, german, care, case : rash
early, day, rate, protein, person : rash
physician, measles, exemption, critical, likely : compare
innate, history, routine, loss, unit : aid
red, antibody, contract, year, affect : life
confirm, legislation, bed, age, campaign : compare
close, rubella, affect, exposure, lead : part
identify, human, blindness, typically, take : amount
reduce, description, biology, receptor, measles : systematic
continue, symptom, approximately, said, agent : congenital
measles, cause, jersey, outbreak, roseola : county
media, death, outbreak, impairment, child : diarrhea
vaccine, intervention, world, level, case : vaccination
immunization, fell, measles, year, diagnostic : trend
host, sent, led, system, vitamin : get
animal, typically, case, legislation, usually : mouth
primarily, data, highly, brown, high : tumor
rest, increase, widespread, cellular, encephalitis : compare
alveolar, exposure, white, medication, measles : cough
aim, healthy, fatality, severely, abdomen : good
western, disease, legal, receive, state : report
york, need, control, eradicate, month : steroid
cause, occur, support, case, report : measles
cheek, temporary, ad, prevention, people : mouth
name, brain, occur, scare, case : complication
vaccine, acute, international, malnutrition, propagate : traveler
committee, especially, rate, well, outcome : clear
occasional, share, media, laboratory, inadequately : step
dose, nucleate, cause, week, people : cough
include, report, significantly, rest, extremely : compare
recommend, measles, immunity, maculopapular, vaccination : disease
international, condition, infection, infant, croup : slightly
michigan, measles, trachea, develop, immune : pneumonia
symptom, visit, fluid, community, year : standard
month, measles, drawn, protect, remain : course
outbreak, year, identify, course, die : systematic
human, receive, relatively, result, specimen : available
caught, psychosomatic, german, smallpox, confirm : rest
traveler, seizure, occur, organ, woman : regardless
cause, exposure, death, week, gradually : fever
mean, rio, kill, saw, immunization : traveler
vaccine, determine, disease, death, envelop : available
disease, emergency, hour, break, epidemic : systematic
figure, hour, person, measles, care : pneumonia
island, day, year, march, kill : selective
initial, secretion, journal, governor, area : choose
approximately, red, contact, risk, runny : greater
virus, usually, add, people, rate : year
naga, campaign, vaccine, effective, rose : led
rash, site, malnutrition, ready, fever : confusion
majority, symptom, declare, diagnosis, vaccination : clear
supplement, measles, death, isolate, bacterial : secondary
monitor, importation, measles, expose, people : county
prevention, measles, month, deficiency, red : rash
gradually, asymptomatic, improve, indicate, high : description
supportive, population, immunity, lower, month : steroid
cross, virus, spread, kindergartner, region : rest
express, die, diarrhea, maintain, highly : contagious
exist, antibody, spot, reservoir, inflammation : nearby
country, back, refer, situation, become : mechanical
addition, rare, lack, infection, mentation : amount
medication, pregnant, serious, death, kill : food
total, globally, woman, rubella, organ : de
roughly, virus, injury, eradicate, death : period
rubella, fever, improve, united, combination : oral
side, central, additional, sign, similar : left
begin, salivary, squirrel, availability, antigen : confusion
rabies, highly, hallucination, cause, site : confusion
recommend, privately, advantage, vaccination, rabies : effective
prevention, system, allow, associate, disease : reference
infect, new, decrease, rabies, confusion : water
violent, microscopy, cell, similar, infection : older
infect, rabid, route, negative, grey : saliva
bite, reference, increase, report, bind : hygiene
wholly, intoxicate, widespread, sometime, united : emerge
fear, due, symptom, conserve, use : cough
appear, west, infect, rabies, set : transmit
immunize, trimeric, disease, incubation, early : nearly
rabies, risk, similar, collaboration, detector : organization
form, vaccine, patient, neuron, treatment : oral
republic, symptom, suggest, technique, literature : volume
reservoir, infection, newspaper, contact, treatment : little
official, death, host, drop, eliminate : embryo
antigen, stage, people, year, reach : nearly
verification, fear, rabies, skin, protein : interaction
increase, bind, animal, reliable, symptom : mite
exceptionally, mile, death, usually, raccoon : confusion
technique, inclusion, article, rabies, neuromuscular : map
number, discover, coma, bite, state : outbreak
animal, destruction, hospitalize, strand, attachment : observe
antigen, information, get, rabies, wound : surface
decompose, use, precaution, neural, start : magnesium
report, protocol, little, cause, present : fear
saliva, case, risk, drink, migrate : add
multiple, confusion, pathway, swallow, chance : paralysis
distribute, immune, paralytic, case, barrier : nearly
particle, rabies, further, viral, case : bite
delay, infect, proven, animal, host : contact
unacceptable, nervous, modification, originate, source : longer
launch, animal, history, needle, illness : ferret
circulate, require, infect, human, mentally : contact
victim, replicate, consciousness, use, identification : alone
vaccine, chicken, bite, dog, sign : prevention
vaccine, common, negative, faith, organization : world
year, source, provider, muscle, spike : beneficial
embed, membrane, bite, rabies, infection : virus
present, use, content, human, nervous : cell
curtailment, mandatory, known, well, case : spread
wound, dog, see, family, matrix : amount
attenuate, behavior, free, shot, present : seizure
human, negative, cell, therefore, get : protein
animal, infectious, alliance, year, confusion : nearly
rabies, rodlike, general, difficult, immune : get
technique, rabies, notice, cat, service : observe
form, section, easily, significant, swiss : therapeutic
domesticate, eye, require, wild, cell : compare
reservoir, antigen, research, minute, bite : amount
month, death, short, consider, virus : confusion
virus, bite, system, muscle, wash : water
highest, human, june, wild, wildlife : domestic
cytoplasm, order, common, uncommon, bite : diarrhea
bite, prevent, usually, seek, diagnose : victim
coyote, alway, infect, human, diagnose : period
original, origin, symptom, pet, example : short
disease, gerbil, result, rabies, region : control
animal, inspiration, treatment, length, dog : water
procession, lateral, normally, strip, spread : theoretically
diagnose, violent, narrow, rural, total : personal
outbreak, virus, determine, mortality, point : natural
exposure, administer, entry, sensation, reach : confusion
dead, cell, commonly, cloth, animal : spread
boston, transmit, tendency, people, help : west
water, sensation, bite, efficacious, contact : fear
loss, animal, viral, upstream, system : reach
vaccine, painful, technique, source, day : rash
cell, state, regain, region, use : report
increase, world, rarely, saliva, victim : bite
person, neurological, resistant, thoroughly, circa : bitten
culture, produce, highest, alway, hallucination : amount
specificity, fat, live, area, cell : trachea
virus, mark, throat, rabies, sign : paralysis
release, start, navigation, cell, symptom : onset
place, virus, people, survive, start : contact
number, expensive, use, type, made : critical
use, acetylcholine, traditional, year, rapidly : agonist
necessary, method, dog, availability, great : drop
exhibit, abdomen, rabies, invasive, infection : nervous
world, soap, differential, newspaper, east : beneficial
virus, day, diagnose, health, respiratory : cough
body, recognize, patient, period, mile : confusion
vaccination, consciousness, well, neuron, pathway : reach
cell, example, system, world, individual : activation
determine, strain, rabies, thought, tissue : officer
country, outbreak, drool, cause, rabies : death
need, forbade, ancient, contract, virus : victim
disease, furious, sustain, domestic, include : period
country, inability, relatively, day, peripheral : confusion
day, vaccination, year, live, painful : rash
confusion, dollar, depend, reach, virus : tingle
information, gluteal, significant, microscopic, example : molecule
generally, campaign, numerous, develop, vaccination : choose
swallow, start, continent, rabies, use : water
farm, transverse, use, identification, commonly : agonist
high, vaccine, get, cost, excessive : recommendation
genus, begun, pack, guinea, facilitate : little
salivary, somewhat, outer, immunize, mammal : add
global, become, autonomic, immunize, attribute : vasoconstriction
rabies, present, chicken, treatment, virus : case
domesticate, rabies, dead, human, people : vaccine
animal, infection, water, step, prevention : fear
viral, present, world, exposure, see : water
present, molecule, fear, thigh, uncharacteristic : transplant
environment, rabies, nervous, attribute, band : colonization
provocation, control, canada, bind, rabbit : formulation
country, diagnosis, protein, muscle, nucleoprotein : molecule
turn, brain, alcohol, virus, north : reach
raccoon, ancient, name, country, symptom : runny
small, delay, time, wound, unit : standard
appear, control, inclusion, period, small : beneficial
fox, treatment, environment, technique, person : regardless
commit, protein, cat, people, rabies : observe
spasm, type, rabies, likely, travel : receptor
ancient, bite, wild, rural, affordable : greatly
cut, constitute, brain, people, central : eventually
needle, travel, adapt, exposure, method : passive
loss, virus, common, band, main : passive
diagnosis, nervous, reference, feral, retrograde : note
cellular, illustrate, service, drool, muscle : greatly
venerate, go, bat, dog, able : victim
cost, microscopy, known, muscle, example : identification
intramuscular, protocol, day, virus, sign : fever
dog, remedy, organ, democratic, medical : literature
exposure, damage, victim, help, weight : stray
virus, encephalitis, vaccination, specific, application : serious
occur, bite, detector, require, modern : formulation
serve, known, total, spread, treatment : little
diagnostic, relatively, compromise, wound, use : alone
handle, paralytic, complex, rabies, bud : amount
main, notice, sense, treatment, case : support
day, ability, usually, rabies, amount : confusion
bite, acidic, help, day, rage : hallucination
rabies, vaccine, raccoon, newspaper, confuse : book
expensive, cytoplasm, tropical, analysis, disease : suggest
protocol, likely, cell, particle, affect : envelope
invasive, gene, allow, example, reduce : activation
disease, dog, neural, microscopic, point : period
handle, main, human, normally, body : observe
single, person, disease, cause, possible : exposure
cause, recognize, virus, rabies, effective : symptom
protein, vaccination, sensitivity, host, recommend : trachea
large, relatively, numerous, show, replicate : irritant
especially, control, disease, start, central : period
virus, vector, fill, population, case : human
known, annual, animal, rabies, pathogen : bite
reticulum, age, coma, human, strip : systematic
rural, case, rabbit, occur, country : vaccine
bind, shell, spread, rate, neurotropic : environment
virus, affect, begin, infection, notice : infect
rabies, spend, mammal, location, prolong : period
central, female, rough, light, wild : fold
virus, section, cost, cell, nearly : membrane
contract, person, period, cause, patient : start
inflammation, brain, dose, commonly, rabies : period
disease, abroad, animal, eventually, bite : transmit
hallucination, rabies, highly, newly, transmit : encounter
differential, main, animal, case, infect : disease
article, translate, absence, fever, bite : ready
rabies, woodcut, unknown, main, common : observe
bite, vaccine, virus, cause, delivery : transmit
nerve, further, dog, rabies, learn : water
successful, rabies, dry, person, additional : regardless
drink, dog, drop, please, present : cattle
muscle, new, dog, infection, indication : description
form, location, pinocytosis, convince, multiply : formulation
kilogram, handle, detect, campaign, infection : ferret
rear, virus, abound, human, male : transmit
navigation, genetic, depend, infectious, west : runny
time, likely, indigenous, require, world : formulation
site, further, strand, cause, protocol : protein
body, cause, literature, prove, develop : brain
able, bite, found, transmission, procedure : trachea
travel, virus, material, transmission, case : infect
reach, murderous, cell, rang, find : formulation
salivary, rabies, transmission, exceptionally, bite : animal
proper, infection, rabies, provocation, remain : fear
solid, nerve, tissue, strain, dog : culture
prescribe, rage, allow, research, gluteal : sensitive
easier, negative, neglect, ability, little : procedure
taken, necessary, approximately, improve, word : theoretically
treatment, report, united, protein, cytoplasm : receptor
wash, total, spread, little, reliable : observe
eliminate, effective, call, nerve, reference : society
case, needle, state, male, transmission : county
feed, antibody, virus, diagnostic, exhibit : sensitive
person, period, human, cattle, population : year
practice, fluorescein, template, coma, recommend : formulation
respiratory, literature, highest, touch, infection : decrease
effective, discover, prevention, coma, needle : society
rabies, gland, democratic, salivation, increase : sleep
pep, successful, report, due, conserve : highly
bind, people, sign, study, system : alone
possible, year, strand, culture, cell : receptor
encounter, case, period, dollar, sample : examine
area, known, drink, method, infection : risk
st, human, paralysis, fine, early : longer
cause, stray, spasm, alway, cut : throat
protocol, rodlike, order, prevent, vaccination : effective
come, food, distance, recover, complex : compare
relatively, exposure, animal, person, precautionary : contact
rabid, call, rabies, sensation, introduce : paralysis
brain, evidence, content, record, effective : amount
united, person, disease, new, geographic : year
couple, system, period, original, allow : antigen
early, originate, rabies, pet, fever : north
negative, case, known, start, mostly : mouth
vaccine, disease, official, present, therefore : embryo
recommend, especially, united, genus, rural : available
high, turn, administration, use, host : older
affect, patient, form, cell, prevention : external
hope, facilitate, people, pack, literature : alone
raccoon, animal, central, use, treatment : prevent
stage, harvest, canada, see, transmission : external
center, bite, sperm, patient, mammal : tumor
swallow, dog, diagnose, kill, disease : water
further, nervous, goal, vaccination, faith : clear
care, contiguous, law, negative, hare : male
rabies, death, present, bait, murderous : dog
case, japan, minute, number, vaccination : region
soon, drink, world, strict, rabies : organization
case, bat, year, regardless, patient : victim
form, absence, world, system, rural : middle
gene, main, animal, consciousness, yellow : disability
case, rabies, effort, risk, bite : infection
symptom, medical, drink, supervision, name : note
easily, patient, human, symptom, attenuate : live
st, prevent, known, rate, sign : systematic
highly, site, age, prevalence, transmit : contagious
greatly, virus, specific, rabies, cost : cell
replace, symptomatic, day, virus, consciousness : nerve
travel, facial, inflict, due, successfully : solid
replace, strand, people, retrograde, tropism : bind
modern, system, cause, year, research : age
japan, transport, phase, rule, contact : live
disease, rang, retrograde, rabies, vaccination : measles
genetic, mentally, trouble, trace, book : alone
animal, rural, total, fever, nonhuman : nearly
domestic, fluorescence, world, mass, acetylcholine : public
public, bind, peripheral, week, rabies : nearly
mortality, information, nerve, disease, early : nearly
pep, limit, stray, disease, cellular : law
muscle, side, word, bind, bite : amount
status, rabies, water, principal, genetic : fear
inflame, cause, constitute, soap, technique : officer
rabies, person, highly, rural, prevention : animal
treatment, further, antarctica, human, contact : bite
completely, restriction, assess, aspect, stress : alleviate
lead, syndrome, consequence, location, artery : necrosis
artery, system, note, potential, due : deficiency
radiation, main, invariably, tend, extremity : right
surgery, blood, behaviour, abdominal, venous : failure
occlusion, gradual, nevertheless, form, diagnose : blockage
need, depend, treatment, clot, thrombus : blood
citation, article, deep, air, hormone : main
venous, give, squint, intravenous, vessel : steroid
venous, exercise, grade, multitude, blood : coagulation
occur, thrombosis, clot, need, prevent : vein
main, history, diagnose, occlusion, process : reference
clot, data, pain, cardiac, systemic : selective
tissue, artery, external, body, injection : necrosis
sinus, end, treat, femoral, extremity : cyanosis
fissure, flight, main, vital, vigorous : tumor
main, vein, mortality, filter, wire : compression
gradual, multitude, free, histological, flight : long
obstruction, histological, heart, compression, sign : failure
blood, recommend, incompetent, thrombosis, drainage : local
access, citation, abnormal, result, condition : steroid
thrombus, occur, prevent, blood, sharp : vein
people, skull, hour, remote, embolism : systematic
vessel, blood, instance, image, small : obstruct
damage, substance, morbidity, impairment, muscle : expression
protein, acute, prevention, occur, thrombosis : mechanism
citation, site, sign, impact, artery : consciousness
citation, heart, protein, compression, formation : coagulation
injection, blood, supply, injury, problematic : venous
citation, blood, mechanical, begin, valve : alter
younger, possible, article, vessel, leg : left
rate, use, complication, heart, thrombosis : risk
growth, form, coagulation, exposure, main : triad
platelet, thrombosis, exercise, context, carry : slow
damage, weight, article, liver, condition : vasoconstriction
possible, lead, blood, gradual, vessel : obstruct
known, different, end, flight, further : coagulation
citation, play, final, result, arterial : review
vessel, substance, lodge, present, artery : tumor
lodge, reduce, seizure, plaster, main : mechanism
directly, main, bleed, hinder, change : disability
pain, guidance, immobility, select, tissue : vasoconstriction
irreversibly, la, analysis, medicine, come : stagnant
enhance, deep, study, stasis, reduce : coagulation
risk, especially, intravenous, mortality, thrombosis : lead
consequence, body, venous, hospital, cyanosis : necrosis
occlude, rate, thrombosis, hour, affect : flow
disturb, coagulation, cause, venous, syndrome : triad
venous, person, thrombus, infarction, play : necrosis
factor, endothelial, sepsis, necrosis, surgical : triad
venous, use, article, possible, thrombus : thrombosis
hinder, vein, lesion, liver, embolism : artery
thrombosis, treatment, thrombus, stress, modifiable : immobility
body, heart, deficiency, heparin, formation : long
face, risk, local, disease, known : pregnancy
superior, thrombin, relate, increase, intervention : coagulation
thrombus, mechanical, occur, clinical, catheter : vasoconstriction
clot, characterize, artery, need, factor : long
location, thrombus, main, damage, target : right
vein, impact, arm, cause, circle : left
surgery, endothelial, death, pulmonary, body : seizure
main, contract, atrium, migrate, consequence : reach
local, easy, surgery, pulmonary, cavernous : tumor
internal, citation, obstruct, period, restrict : right
option, refer, stagnant, outcome, aspirin : magnesium
recovery, made, heart, size, direct : lymph
occlude, exercise, percutaneous, united, vitamin : motion
flow, quickly, injure, necrosis, agent : completely
hepatic, hormone, thrombosis, stroke, result : right
usually, gradual, blood, immobility, vein : venous
result, jugular, thrombus, flow, vessel : lead
recently, risk, sis, failure, compression : immobility
mortality, disorder, embolism, enter, nocturnal : tumor
artery, committee, injure, main, vessel : blood
main, treat, occurrence, physiological, factor : coagulation
fibrillation, patient, originate, artery, aggregation : local
blood, treatment, target, vessel, deep : flow
function, trauma, vessel, flow, damage : line
cause, known, difficult, suggest, intervention : compression
invariably, mechanism, impact, cause, different : compression
internal, occur, embolism, vein, give : left
inferior, risk, venous, directly, vessel : thrombosis
affect, embolism, obstruct, treat, vein : arterial
drain, syndrome, venous, blood, agent : coagulation
central, obstruction, severe, main, enter : peripheral
pulmonary, risk, circulatory, thrombosis, reduce : lead
factor, thrombosis, form, surgery, travel : venous
portal, episode, need, direct, large : mixture
femoral, possible, gene, timely, kingdom : substance
piece, target, give, jugular, high : tumor
genetic, cyanosis, condition, sinus, natural : left
men, occlusion, necrosis, cause, practice : vasoconstriction
vessel, distribute, aneurysmal, call, damage : activation
vein, nasal, morbidity, damage, develop : coagulation
give, modulator, vasculature, bleed, necessary : tumor
quickly, main, scar, size, need : mechanism
thrombus, endothelial, thrombosis, usually, made : venous
formation, squint, give, due, refer : older
infarction, vein, form, necrosis, brain : artery
artery, key, thrombosis, blood, arterial : venous
enlarge, fall, deep, deficiency, vein : immobility
area, lodge, happen, blindness, pulmonary : trial
scar, formation, attract, hospital, tumor : growth
possible, associate, nutrient, thrombosis, intervention : compression
data, embolism, motion, thrombosis, severe : compression
include, infarction, citation, contraceptive, cause : acute
blockage, blood, thrombosis, occur, vein : arterial
normally, scan, indication, risk, prevention : feed
cause, drug, orbit, rapid, coagulation : paralysis
thrombosis, calf, affect, give, cause : surgery
further, thrombosis, specific, xi, example : tumor
aneurysmal, normally, enzyme, difficult, mortality : description
article, body, see, tissue, agent : vasoconstriction
side, treatment, cell, body, fatal : abnormal
deposit, situation, vein, easy, side : left
vein, embolus, lodge, thrombosis, lead : embolism
vein, increase, coagulation, contraindicate, percutaneous : compression
thrombotic, vessel, increasingly, lead, deep : occlusion
preventative, precise, known, rate, complication : administration
infarction, cause, sinus, spread, context : plague
lead, reduce, insertion, injury, vessel : coagulation
need, risk, lead, style, cavernous : thrombosis
disturb, platelet, embolism, prevention, common : long
heparin, obstruction, destruction, use, occur : steroid
indicate, arterial, prevention, abnormality, progression : mechanism
seizure, hospital, obstruction, continue, factor : long
venous, prevent, sit, fracture, tissue : long
lead, thrombotic, example, instance, mechanism : substance
cavernous, factor, clote, atrial, face : flat
main, illness, reduce, vital, vein : compression
affect, blood, require, reduce, occur : lead
radiation, embolism, organ, occur, injury : arterial
lodge, swell, treatment, body, redness : blindness
attract, thickness, complication, medical, due : steroid
stroke, citation, therapy, coagulation, need : acute
promptly, make, blood, lung, result : benefit
slow, else, drug, thrombosis, vein : compression
full, lodge, obstruct, divide, upper : blue
vein, usually, suffer, define, local : immobility
brain, development, infection, vision, need : face
follow, thrombosis, death, axillary, inhibitor : confusion
main, improve, citation, thrombosis, arterial : article
swell, known, mural, triad, blood : local
tissue, acute, clinical, ophthalmic, area : consider
infection, call, solid, condition, form : usually
medical, low, mediate, external, increase : immobility
embolism, nevertheless, facial, encyclopedia, medical : tumor
citation, thrombosis, anticoagulant, acute, limb : surgery
site, blood, thrombus, congestion, occlusion : obstruct
area, swell, vision, transplantation, embolism : abnormal
restriction, embolism, expression, free, age : left
retrograde, surgery, embolism, stock, embolus : piece
reference, detach, restriction, article, metabolism : note
need, failure, vary, light, tissue : class
extend, catheter, contribute, rapid, swell : local
polycythemia, result, particle, article, ischemic : fall
occlusion, hour, vein, left, nutrient : obstruct
thrombosis, main, replacement, congestion, vessel : coagulation
known, congestion, venous, cell, jump : necrosis
cause, cell, sepsis, blood, admit : coagulation
injury, list, cause, vasoconstriction, stasis : failure
aspirin, death, devastate, response, model : shortness
disease, danger, therapy, site, chemotherapy : consciousness
renal, clot, guideline, monitor, system : coagulation
treatment, difficult, venous, classical, body : face
vessel, mi, classic, increasingly, reduce : completely
vein, endothelial, different, transplantation, systemic : compression
instance, surgery, risk, infarction, hemorrhage : immobility
thrombus, form, present, lead, outcome : occlusion
large, cause, follow, deep, thrombosis : compression
arterial, enlarge, main, rare, injury : venous
enhance, obstruction, risk, cavernous, search : reversible
situation, refer, skull, article, infection : examine
need, inferior, intervention, facial, consequence : class
clot, stroke, form, layer, certain : blood
massive, occlusion, ancient, stroke, formation : vasoconstriction
heart, affect, rarely, basal, bleed : necrosis
contribute, form, venous, cause, become : usually
data, obstruction, affect, blood, hour : supply
obstruction, artery, blood, alter, supply : heart
vessel, blockage, receive, limb, venous : cerebral
clinical, lead, blood, heal, venous : obstruct
smooth, hinder, stroke, migrate, air : motion
citation, piece, information, basal, blood : coagulation
large, need, blood, artery, heart : thrombus
increase, smooth, venous, renal, jugular : coagulation
clot, swell, turbulent, redness, see : local
piece, key, embolism, embolus, ophthalmic : convulsion
parliamentary, arterial, patient, modulator, tissue : coagulation
risk, surgery, parliamentary, coagulation, portal : fall
blood, metabolism, article, originate, obstruct : alter
artery, generally, restrict, stroke, anticoagulant : local
hour, effective, flow, loss, smooth : probably
involve, immobility, incompetent, right, follow : fall
cover, develop, thrombosis, thrombophlebitis, reason : tumor
catheter, secretion, context, side, defect : slow
antibody, metabolism, require, factor, blood : coagulation
acute, selective, further, example, blockage : right
concomitantly, thrombosis, flow, injury, embolism : long
usually, thrombosis, travel, enter, syndrome : vasoconstriction
circulation, numerous, sign, vitamin, clot : inclusion
mechanical, main, blood, drug, area : fall
potential, failure, airplane, common, part : long
citation, mortality, lumen, mural, contraceptive : growth
usually, result, deep, tissue, thrombosis : lead
guideline, death, occur, timeliness, tissue : lead
atrial, embolism, vessel, stroke, muscle : left
use, divide, timely, lead, tissue : slow
formation, robust, vein, blood, lead : vessel
leg, citation, stroke, clot, airplane : right
citation, thrombus, respiratory, infarction, issue : local
surgical, encyclopedia, lead, become, development : left
prove, gradual, complete, necrosis, need : add
relate, extremity, united, state, respiratory : obesity
sit, lead, citation, prolong, need : acute
contract, treatment, factor, pain, embolus : fever
blood, area, case, risk, tissue : factor
hormone, lodge, article, clinical, polycythemia : vasoconstriction
endothelial, difficult, sustain, artery, aspirin : mechanism
surgical, inhibitor, citation, thrombosis, body : vein
blood, occasionally, cerebral, acute, right : coagulation
deep, body, thrombus, known, example : immobility
pulmonary, normalize, mechanism, cavernous, note : tumor
increase, improve, normally, modifiable, vein : vasoconstriction
aspect, artery, citation, annual, result : steroid
condition, known, describe, nocturnal, tissue : vasoconstriction
heart, affect, recently, antagonist, nasal : local
ambient, emphasize, lodge, cerebral, hour : tumor
blood, usually, percutaneous, produce, permanently : coagulation
main, risk, blood, history, wall : factor
damage, clot, pain, use, gradual : long
flow, generally, vertebral, renal, vessel : tumor
hour, atrial, clot, nocturnal, vein : tumor
stasis, arterial, ratio, use, flow : long
risk, death, reduction, venous, emphasize : respiratory
nocturnal, occur, stratify, pain, complication : cough
agent, rate, injure, person, action : factor
main, target, blood, cause, breakdown : injury
occur, prolong, navigation, brain, hip : vasoconstriction
increase, evidence, organ, pregnancy, require : review
define, main, age, strategy, xi : mechanism
concomitantly, thrombosis, blockage, pulmonary, inferior : venous
include, body, tissue, thrombus, reason : blood
symptom, cyanosis, present, extremity, damage : left
piece, obstruct, thrombus, annual, acute : oxygen
line, blood, artery, lodge, scar : vessel
bleed, vitamin, citation, major, article : hospital
portal, artery, large, arterial, vein : blood
aspect, article, agent, person, anticipation : motion
clot, stroke, arterial, vessel, bowel : blood
poor, include, rabies, risk, attempt : decrease
death, return, animal, catheter, pacific : region
recommend, county, lateral, prevention, rabies : vaccine
asthma, death, gluteal, fall, support : respiratory
step, person, rabies, clote, year : control
age, health, general, committee, eastern : immunization
step, generate, rabies, orbit, region : amount
capacity, vaccine, show, size, series : support
north, expose, transmit, infection, different : longer
use, observation, alway, long, attack : review
cry, trend, reduce, orbital, virtually : diarrhea
expert, complication, interact, citation, medical : class
treatment, antibody, world, clot, mild : function
oral, false, fear, clot, brain : excessive
consider, observation, expensive, thrombosis, measles : description
asthma, suspect, protocol, obstruct, reduce : review
alternative, expose, rabies, bleed, previous : immobility
